Keyword,Place,Start_date,End_date,Tweets_count
immigrant,,2021-07-09T00:00:00.000Z,2021-07-10T00:00:00.000Z,10357
immigrant,,2021-07-10T00:00:00.000Z,2021-07-11T00:00:00.000Z,9552
immigrant,,2021-07-11T00:00:00.000Z,2021-07-12T00:00:00.000Z,8670
immigrant,,2021-07-12T00:00:00.000Z,2021-07-13T00:00:00.000Z,15667
immigrant,,2021-07-13T00:00:00.000Z,2021-07-14T00:00:00.000Z,12707
immigrant,GB,2021-07-09T00:00:00.000Z,2021-07-10T00:00:00.000Z,7
immigrant,GB,2021-07-10T00:00:00.000Z,2021-07-11T00:00:00.000Z,3
immigrant,GB,2021-07-11T00:00:00.000Z,2021-07-12T00:00:00.000Z,6
immigrant,GB,2021-07-12T00:00:00.000Z,2021-07-13T00:00:00.000Z,13
immigrant,GB,2021-07-13T00:00:00.000Z,2021-07-14T00:00:00.000Z,12
immigrant,IT,2021-07-09T00:00:00.000Z,2021-07-10T00:00:00.000Z,0
immigrant,IT,2021-07-10T00:00:00.000Z,2021-07-11T00:00:00.000Z,1
immigrant,IT,2021-07-11T00:00:00.000Z,2021-07-12T00:00:00.000Z,0
immigrant,IT,2021-07-12T00:00:00.000Z,2021-07-13T00:00:00.000Z,1
immigrant,IT,2021-07-13T00:00:00.000Z,2021-07-14T00:00:00.000Z,0
migration,,2021-07-09T00:00:00.000Z,2021-07-10T00:00:00.000Z,8497
migration,,2021-07-10T00:00:00.000Z,2021-07-11T00:00:00.000Z,5808
migration,,2021-07-11T00:00:00.000Z,2021-07-12T00:00:00.000Z,6117
migration,,2021-07-12T00:00:00.000Z,2021-07-13T00:00:00.000Z,7782
migration,,2021-07-13T00:00:00.000Z,2021-07-14T00:00:00.000Z,9062
migration,GB,2021-07-09T00:00:00.000Z,2021-07-10T00:00:00.000Z,4
migration,GB,2021-07-10T00:00:00.000Z,2021-07-11T00:00:00.000Z,3
migration,GB,2021-07-11T00:00:00.000Z,2021-07-12T00:00:00.000Z,3
migration,GB,2021-07-12T00:00:00.000Z,2021-07-13T00:00:00.000Z,2
migration,GB,2021-07-13T00:00:00.000Z,2021-07-14T00:00:00.000Z,4
migration,IT,2021-07-09T00:00:00.000Z,2021-07-10T00:00:00.000Z,3
migration,IT,2021-07-10T00:00:00.000Z,2021-07-11T00:00:00.000Z,0
migration,IT,2021-07-11T00:00:00.000Z,2021-07-12T00:00:00.000Z,0
migration,IT,2021-07-12T00:00:00.000Z,2021-07-13T00:00:00.000Z,0
migration,IT,2021-07-13T00:00:00.000Z,2021-07-14T00:00:00.000Z,0
