Country,Twitter account football team (national),Twitter account id,Twitter account football team (english),Twitter account id
France,https://twitter.com/equipedefrance,2155215398,https://twitter.com/frenchteam,9.38E+17
Spain,https://twitter.com/sefutbol,1139001474,,
England,https://twitter.com/England,1903382054,,
Netherland,https://twitter.com/OnsOranje,1.01E+18,,
Germany,https://twitter.com/dfb_team,78270570,https://twitter.com/DFB_Team_EN,2350218440
Italy,https://twitter.com/azzurri,233498480,https://twitter.com/azzurri_en,469508969
Belgium,https://twitter.com/BelRedDevils,719735953,,
Portugal,https://twitter.com/selecaoportugal,2550023839,,
Ireland,https://twitter.com/faireland,15439770,,
Liverpool,https://twitter.com/LFC,,,
Man City,https://twitter.com/ManCity,,,
Man Utd,https://twitter.com/ManUtd,,,
Tottenham,https://twitter.com/SpursOfficial,,,
Real Madrid,https://twitter.com/realmadrid,,https://twitter.com/realmadriden,
PSG,https://twitter.com/PSG_inside,,https://twitter.com/PSG_English,
Barcelona,https://twitter.com/FCBarcelona,,,
